id,Timestamp,Original statement,Actor,Restated,Date of publication,Source URL,Source name,Source type,Year,X,Y,Issue,filter,Opinion
167,1/13/2025 12:25:16,"""My message to Denmark is that humanity’s survival hinges on sharing technologies globally. To the world, the challenge lies in balancing profit-oriented and non-profit groups—this imbalance could hinder a collective global transition.""",Facebook user,"my message to denmark is that humanity’s survival hinges on sharing technologies globally. to the world, the challenge lies in balancing profit-oriented and non-profit groups—this imbalance could hinder a collective global transition.",6/20/2022,https://www.facebook.com/watch/?v=373890213879743,Facebook,Social media,2022,40.515141,1340.107544,None,True,neither
174,1/13/2025 12:42:28,Måske staten bare skulle bygge dem selv og selv score kassen i fremtiden. Det er trods alt energi infrastruktur. Og så i Verdensklasse. Og da virksomhederne jo ikke har budt på projektet så kan det jo ikke siges at være konkurrenceforvridende. Såre simpelt. Og den 20 januar er der jo kun 1 døgn tilbage af krigen i Ukraine efter hvad Trump har lovet. Så sparet vi milliarder til krudt og kugler i Ukraine.,Facebook user,"perhaps the state should build the infrastructure itself and reap the future profits—it is, after all, energy infrastructure of the highest caliber. since companies haven’t bid on the project, it can hardly be called anti-competitive. and with trump’s promise of the ukraine war ending by january 20, we could save billions on ammunition and arms.",1/1/2025,https://www.facebook.com/search/top/?q=Energi%C3%B8,Facebook,Social media,2025,327.70752,1855.161621,How to finance the energy islands?,True,positive
176,1/13/2025 12:47:32,"Skulle de politikere ikke snart vågne op til virkeligheden.
Læg nu energi ø Bornholm i graven og brug penge på noget fornuftigt.
I stedet for at bygge luftkasteller",Facebook user,isn't it time for politicians to wake up to reality? let’s lay energy island bornholm to rest and invest in something meaningful instead of blowing screens of smoke,12/5/2025,https://www.facebook.com/search/top/?q=Energi%C3%B8,Facebook,Social media,2025,-3168.147705,-1246.947876,Are there more cost-effective ways to reach the emissions targets?,True,Negative
178,1/13/2025 12:49:26,"Det er så en virkelighed vi har nu som peger væk fra vindenergi og mod alternativer som måske kan være a-kraft. Det er så en diskussion vi bør tage nu, så vi ikke nytteløst bliver ved med at smide gode penge efter dårlige. Velkommen til virkeligheden til jer der foregøgler sig at energiøen er løsningen på alle Bornholms problemer.",Facebook user,the reality now points away from wind energy and towards alternatives like nuclear power. this is a discussion we must have now to avoid wasting good money on bad ideas. welcome to reality for those who believe the energy island is the solution to all of bornholm's problems.,12/6/2025,https://www.facebook.com/search/top/?q=Energi%C3%B8,Facebook,Social media,2025,-3066.760498,-1115.835083,Is nuclear power an alternative to energy islands?,True,Negative
179,1/13/2025 12:51:37,"Anbring et par små modulere kernereaktorer på øen, så er det energiproblem fixet.",Facebook user,"place a couple of small modular nuclear reactors on the island, and the energy problem is solved.",12/6/2024,https://www.facebook.com/search/top/?q=Energi%C3%B8,Facebook,Social media,2024,1454.872803,-1066.53479,Is nuclear power an alternative to energy islands?,True,negative
180,1/13/2025 12:52:58,Hvis Bornholmerne alligevel ikke får glæde af noget billigt strøm…. Så vil vi gerne takke NEJ TAK.,Facebook user,"if the people of bornholm won’t benefit from affordable electricity, we’d like to say a firm no thank you.",12/5/2024,https://www.facebook.com/search/top/?q=Energi%C3%B8,Facebook,Social media,2024,-3170.351562,-1212.279663,Who benefits socially and economically from energy islands? Is it fair?,True,Positive
182,1/13/2025 12:56:01,"Det er så en virkelighed vi har nu som peger væk fra vindenergi og mod alternativer som måske kan være a-kraft. Det er så en diskussion vi bør tage nu, så vi ikke nytteløst bliver ved med at smide gode penge efter dårlige. Velkommen til virkeligheden til jer der foregøgler sig at energiøen er løsningen på alle Bornholms problemer.",Facebook user,the reality now points away from wind energy and towards alternatives like nuclear power. this is a discussion we must have now to avoid wasting good money on bad ideas. welcome to reality for those who believe the energy island is the solution to all of bornholm's problems.,12/6/2024,https://www.facebook.com/search/top/?q=Energi%C3%B8,Facebook,Social media,2024,-3057.947998,-1103.227173,Is nuclear power an alternative to energy islands?,True,Negative
189,1/13/2025 11:39:26,"”Jeg stod i en ekstraordinær livssituation, da min datter blev alvorligt syg sidste år. Det var sindssygt hårdt, og krævede en tilrettelæggelse af arbejdet ud over det sædvanlige, for at jeg kunne få mit liv til at hænge sammen.
Hvis det havde været en traditionel arbejdsplads, havde jeg været nødt til at gå helt fra, og det havde hverken jeg eller Energinet fået noget ud af. Jeg vil jo gerne passe mit arbejde.
Men at passe mit arbejde består af så meget andet, end at jeg står på kontoret i Erritsø kl. 8-16 fra mandag til fredag. Så hele Energinets rammesætning om fleksibel arbejdsplads, giver både mig og min leder optimal mulighed for at indrette arbejdet, så det passer ind i en presset hverdag.”",Other,"i found myself in an extraordinary life situation when my daughter became seriously ill last year. it was incredibly tough and required organizing my work in an extraordinary way to keep my life together.
if it had been a traditional workplace, i would have had to completely step away, which would not have benefited either me or energinet. i want to do my job, after all.
but doing my job involves so much more than being at the office in erritsø from 8 am to 4 pm, monday to friday. energinet’s entire framework for a flexible workplace gives both me and my manager the optimal opportunity to organize work in a way that fits into a hectic daily life.",4/7/2022,https://www.facebook.com/story.php?story_fbid=343813827782956&id=100064630237662&_rdr,Facebook,Social media,2022,-1484.798584,687.417114,None,True,positive
192,1/13/2025 11:49:40,"Det er det jeg har sagt i årevis, de der akademikere som er blevet til politikere, de har jo intet o mellem ørerne, og derfor prøver de alle deres teorier af, istedet for at lytte til dem der har mere mellem ørerne og har både erfaring og viden. 😡😡😡😡😡😡 Hvad i alverden skal de der folk der inde på Borgen, de er da ikke andet end skændsel og børnehave, og dog er det trist, at nogen sætter deres lid og tror på dem.",Facebook user,"for years, i have said this: these academics-turned-politicians have nothing in their heads. they insist on testing all their theories instead of listening to people with more sense, experience, and knowledge. the people in parliament are nothing but a disgrace and a kindergarten. it’s sad that anyone puts their trust in them or believes in them.",12/9/2024,https://www.facebook.com/photo.php?fbid=1287433316004355&set=a.714469336634092&type=3,Facebook,Social media,2024,-1018.921875,1823.026489,None,True,Neither
193,1/13/2025 11:50:50,"Nå så kom prisen på grisen. 202 milliarder kr. for 8,4 GW kernekraft. 1 energi ø med tvivlsom effekt, men lad os være søde og sige 3 GW når vinden blæser. Pris 210 milliarder. Ja kernekraft er for dyrt AAAAALT for dyrt. Og bygge tid 6-7 år. Ja kernekraft tager al for lang tid at bygge. Gad vide hvornår Danmark vågner op. Edit jeg har nok været lidt for hurtig ude her. 210 milliarder gælder begge energi øer. Det ændre ikke noget som helst på værdien af strøm 24/7 og forsyningssikkerhed, samt det faktum at EØ ikke gør os fri af fossil back up. Men i retfærdighedens navn skal prisen rettes.",Facebook user,"the cost comparison between energy islands and nuclear power is revealing. constructing 8.4 gw of nuclear power costs 202 billion dkk, while building two energy islands costs 210 billion dkk, delivering only about 3 gw when the wind blows. this highlights that nuclear power, often criticized for being expensive and slow, may be more viable than previously thought, considering its ability to provide electricity 24/7 and enhance energy security. while energy islands depend on intermittent wind and don’t eliminate the need for fossil fuel backup, nuclear power can deliver consistent supply. although the corrected total cost of 210 billion dkk for both islands doesn’t alter this perspective, acknowledging this correction ensures fairness in the discussion.",11/3/2022,https://www.facebook.com/groups/6149554153/posts/10160358792224154/,Facebook,Social media,2022,1177.022095,-547.220703,Is nuclear power an alternative to energy islands?,True,negative
