id,Timestamp,Original statement,Actor,Restated,Date of publication,Source URL,Source name,Source type,Year,X,Y,Issue,filter,Opinion,Opinion
0,1/13/2025 12:30:02,"Bornholm bliver DK's 3. ""markedsplads"" for handel med el!

Energistyrelsen har netop offentliggjort, at der oprettes en ny budzone på Bornholm. Når vi sætter #Energiø Bornholm i drift og etablerer en ny elhandelsforbindelse mellem Danmark og Tyskland, skaber vi samtidigt en ny ""markedsplads"" for handel med el, også kaldet en budzone. 

#Øbisserne i Energinet har lavet en grundig analyse og vi kan se, at der vil være en større efterspørgsel på overførselskapacitet, end vi kan levere gennem kablerne. Det skaber en ""flaskehals"" i markedet, som vi håndterer via en budzone på Bornholm. 

Den nye - og 3. budzone i DK - får dog ikke den store betydning for elpriserne på Bornholm, da priserne overvejende vil følge priserne i enten Østdanmark eller Tyskland. I praksis vil det ikke være noget den enkelte forbruger kan mærke på elregningen.

Den nye budzone træder først i kraft, når Energiø Bornholm går i drift – men nu er strukturen i markedet klar - og vi er et lille vigtigt skidt videre mod Energiø Bornholm!",LinkedIn user,"bornholm will become denmark's third electricity trading hub! 

with the new bidding zone on bornholm, we are creating a platform for electricity trade that includes a connection between denmark and germany as part of the #energiø bornholm project. energinet has conducted a thorough analysis, revealing a market bottleneck due to higher demand for transmission capacity than what the cables can deliver. to manage this bottleneck, we are introducing the bidding zone on bornholm.

this will not significantly impact electricity prices on bornholm, as they will mostly align with prices in eastern denmark or germany. consumers won't notice any difference in their electricity bills. the bidding zone will only become active when the energy island on bornholm is operational, but the market structure is now in place. this marks an important step forward for energiø bornholm!",1/13/2024,https://dk.linkedin.com/posts/hanne-storm-edlefsen-221a431_bornholm-bliver-danmarks-3-budzone-n%C3%A5r-energi%C3%B8en-activity-7142488341685460992-Z5-0,LinkedIn,Social media,2024,-1964.528809,-549.056824,Electricity markets and bidding zones,True,Positive,Positive
1,1/13/2025 13:11:08,"It's great to see Denmark are continuing to build upon their incredibly strong offshore wind portfolio. In 2019 Denmark’s wind power generation was the highest in the world as a fraction of domestic consumption, reaching 47%. These new tenders will contribute towards the Danish goal of a fivefold increase in offshore wind by 2030. Exciting times!",LinkedIn user,"denmark's continued development of its offshore wind portfolio is impressive. in 2019, denmark achieved the highest wind power generation in the world as a percentage of domestic consumption, reaching 47%. the new tenders for the energy island projects will support denmark's goal of increasing offshore wind capacity fivefold by 2030. these are exciting developments for renewable energy in denmark!",2/20/2023,https://www.linkedin.com/posts/windrenewables_denmark-to-launch-9gw-offshore-wind-tender-activity-7033427420263108608-pTim?utm_source=share&utm_medium=member_desktop,LinkedIn,Social media,2023,838.666077,852.467651,None,True,Positive,Positive
2,1/13/2025 13:13:39,"- Ingen danske virksomheder udvikler eller producerer HVDC-udstyr, så det tjener ingen dansk interesse at satse på uprøvede løsninger. Multiterminal offshore HVDC-løsninger bør ikke i nogen form indgå i projektet, før de nødvendige nye teknologier er fuldt afprøvet andre steder.",LinkedIn user,"no danish companies develop or manufacture hvdc equipment, so pursuing untested solutions serves no danish interests. multiterminal offshore hvdc solutions should not be included in any part of the energy island projects until the necessary new technologies have been fully tested elsewhere.",12/30/2024,https://www.linkedin.com/posts/paul-frederik-bach-6ab14353_energi%C3%B8-bornholm-teksten-nedenfor-er-indledningen-activity-7279444426182021120-M94j?utm_source=share&utm_medium=member_desktop,LinkedIn,Social media,2024,2342.33374,-81.666039,Uncertainty about High Voltage Direct Current (HVDC) technology.,True,Negative,Negative
3,1/13/2025 13:15:28,"- Siden Energinets ”Business case” fra 2022 er forventningen til projektets samfundsøkonomi blevet kraftigt forringet. Derfor skal der tages stilling til, om projektet skal ændres eller opgives.",LinkedIn user,"since energinet's 'business case' from 2022, the expectations for the societal economic benefits of the energy island projects have significantly deteriorated. therefore, a decision must be made on whether the projects should be modified or abandoned entirely.",12/30/2024,https://www.linkedin.com/posts/paul-frederik-bach-6ab14353_energi%C3%B8-bornholm-teksten-nedenfor-er-indledningen-activity-7279444426182021120-M94j?utm_source=share&utm_medium=member_desktop,LinkedIn,Social media,2024,-791.510925,-949.755127,Who benefits socially and economically from energy islands? Is it fair?,True,negative,negative
4,1/13/2025 13:23:05,"Selvom projektet har potentiale til at levere strøm til millioner af husstande, er der bekymringer om de økonomiske og politiske rammer, der kan påvirke dets succes - og ikke mindst ser det ud til at den grundlæggende businesscase smuldrer mellem hænderne på beslutningstagerne.",LinkedIn user,"although the energy island project has the potential to provide electricity to millions of households, there are concerns regarding the economic and political frameworks that could impact its success. moreover, it seems that the fundamental business case is falling apart in the hands of decision-makers.",1/4/2025,https://www.linkedin.com/posts/bjorngrubberasmussen_energilagring-markedsindsigt-brugerfokus-activity-7281240646969929730-2sBH?utm_source=share&utm_medium=member_desktop,LinkedIn,Social media,2025,434.913391,-1293.05481,How to finance the energy islands?,True,negative,negative
6,1/13/2025 11:43:24,"I dag præsenterede Energy Island Forum sin roadmap om energiøer i Europa-Parlamentet. 

Road-mappet skitserer de kritiske skridt til at realisere Europas første energiøer inden 2030 og lægger desuden grundlaget for langsigtet innovation af energiøer frem mod 2050. 

2030-fokus er på at få de første energiøer op at køre. Dette omfatter udvikling af lovgivningsmæssige rammer til styring af risici, etablering af EU-finansieringsmekanismer til at støtte projekter, fremme af industrisamarbejde for at fremskynde implementeringen og inddragelse af lokalsamfund for at sikre bred støtte.

Når vi ser frem mod 2050, fokuserer Energy Island Forum på langsigtet innovation for at udvikle en europæisk højborg inden for energiø-teknologi. 2050-horisonten fokuserer på at fremme langsigtet innovation - investering i F&U, udvikling af specialiserede uddannelsesprogrammer, skabelse af et økosystem af ekspertise for energiø-teknologier og sikring af projekter, der stemmer overens med klimamål og bæredygtighed for at gøre energiøer til en central del af Europas grønne energifremtid .

For både 2030 og 2050 igangsættes centrale nøgleaktiviteter med roadmap’en i dag!",Other,"energy island forum has presented a roadmap to realize europe’s first energy islands by 2030 and to drive long-term innovation in energy island technology by 2050. by 2030, the focus is on operationalizing the first energy islands. this involves establishing regulatory frameworks to manage risks, creating eu funding mechanisms to support projects, fostering industrial collaboration to accelerate implementation, and engaging local communities to secure broad support.

looking ahead to 2050, the roadmap emphasizes long-term innovation to position europe as a global leader in energy island technology. this includes investing in research and development, creating specialized educational programs, building an ecosystem of expertise in energy island technologies, and ensuring projects align with climate and sustainability goals. the objective is to make energy islands a cornerstone of europe’s green energy future. key activities outlined in the roadmap are being initiated immediately to achieve these goals.",12/13/2024,https://dk.linkedin.com/posts/di-energi_i-dag-pr%C3%A6senterede-energy-island-forum-sin-activity-7272613031262441472-EJ38,LinkedIn,Social media,2024,977.646973,-1120.597412,Bureaucracy and regulation,True,positive,positive
7,1/13/2025 11:43:51,"Bureaukrati og ukoordinerede godkendelsesprocesser risikerer at spænde ben for målet om 19,6 GW havvind i Østersøområdet inden 2030, mener havnedirektør Lars Nordahl Lemvigh i Port of Roenne A/S.",Other,bureaucracy and uncoordinated approval processes risk undermining the goal of achieving 19.6 gw of offshore wind capacity in the baltic sea region by 2030.,1/13/2024,https://no.linkedin.com/posts/søfart_rønne-havn-frygter-flaskehalse-for-havvindambitioner-activity-7018572606211592193-CJz7,LinkedIn,Social media,2024,1625.261841,1020.671021,Bureaucracy and regulation,True,negative,negative
8,1/13/2025 11:44:03,"👍 | Atomkraft fremfor Energiø Bornholm. Kan spare danskerne for mindst 31,5 milliarder.

Energiø Bornholm vil kræve mindst 31,5 milliarder i statsstøtte iflg. Energistyrelsen.

Det svarer fx. til tre gange politiets årlige budget.

Der er intet behov for statsstøtte til energi. Kärnfull er interesseret i at bygge atomkraft i Danmark. Helt uden statsstøtte.

Vil du have atomkraft i Danmark, så udfyld formularen ved at trykke på billedet og bliv en del af forbrugerbevægelsen.

Energiø Bornholm giver ikke økonomisk mening at etablere. Det er konklusionen fra analysevirksomheden Kraka.

I fagbladet Ingeniøren efterspørger seniorøkonom hos Kraka, Frederik Læssøe Nielsen, bare ét godt argument for at opføre Energiø Bornholm. 

Der er iflg. Kraka så mange udfordringer efterhånden, at det ikke længere giver mening:

💰 Statsstøtte på minimum 31,5 mia. iflg. Energistyrelsen.

🔌 Bidrager ikke med forsyningssikkerhed at installere flere vindmøller i Østersøen.

💧 PtX-produktion på Bornholm vil være ekstremt dyrt, da det er billigere at producere PtX med andre energikilder end havvind.

Hos Kärnfull har vi længe sat spørgsmålstegn ved de ekstremt dyre energiøer. Atomkraft kan omvendt energiøer levere billig og stabil strøm og brint.

Kärnfull Next udvikler allerede atomkraftprojekter på den anden side af sundet. Vi har ligeledes vist interesse i at udvikle projekter i Danmark, hvis forbuddet mod atomkraft bliver fjernet.

Atomkraft vil gøre store Energiøer unødvendige, da atomkraft kan levere en stabil produktion af el, fjernvarme og brint. Placerer vi atomkraftværkerne ved eksisterende kraftvarmeværker er vi heller ikke nødt til at industrialisere naturen yderligere.

De fleste af vores kunder har sparet penge ved at skifte til en elaftale med 100% atomkraft.

Mange har sparet tusindvis af kroner, da de uvidende har siddet på alt for dyre elaftaler med fastlåste priser eller skjulte tillæg.

Er du ikke allerede kunde, og ønsker du et gratis pristjek af din elftale?

Send os en mail med din seneste elregning til hej@karnfull.dk eller ring til os 78708070 📞",Other,"we, kärnfull, believe that nuclear power is a far better alternative to the bornholm energy island project, which would cost danish taxpayers at least 31.5 billion dkk in state subsidies, as estimated by the danish energy agency. this is equivalent to three times the annual budget for the police. 

in contrast, nuclear power projects require no state subsidies. kärnfull is prepared to build nuclear power plants in denmark without any financial support from the state. the energy island project on bornholm does not make economic sense, as confirmed by the analysis firm kraka. their senior economist, frederik læssøe nielsen, has publicly challenged proponents to provide a single convincing argument for its construction. 

the challenges with the energy island project include:

1. **massive state subsidies** of at least 31.5 billion dkk.  
2. **no contribution to energy security**, as additional wind turbines in the baltic sea will not solve this issue.  
3. **extremely expensive power-to-x (ptx) production** on bornholm compared to alternative energy sources.  

nuclear power, unlike these costly energy islands, can provide affordable and stable electricity and hydrogen production. by situating nuclear power plants at existing combined heat and power plants, we can avoid further industrializing natural areas.

kärnfull next is already developing nuclear power projects in sweden and has expressed interest in doing so in denmark if the current ban on nuclear power is lifted. nuclear power eliminates the need for large-scale energy islands by offering stable electricity, district heating, and hydrogen production.

furthermore, many of our customers have already saved thousands of kroner by switching to electricity contracts with 100% nuclear power, avoiding overpriced fixed-rate agreements or hidden fees. if you are not yet a customer and would like a free price check on your electricity agreement, email us at hej@karnfull.dk or call us at 78708070. 📞",6/13/2024,https://www.linkedin.com/posts/k%C3%A4rnfull-energi-dk_atomkraft-fremfor-energi%C3%B8-bornholm-activity-7211289052749172737-85N5?utm_source=share&utm_medium=member_desktop,LinkedIn,Social media,2024,-1424.306885,-502.658783,Is nuclear power an alternative to energy islands?,True,Negative,Negative
9,1/13/2025 11:45:01,"Året går på hæld, og når jeg ser på 2023, er der godt nok sket mange fine ting her på Energiø Bornholm:

Baltic Energy Island er blevet stiftet som erhvervsdrivende fond med en professionel bestyrelse. Partnerne bag: Ørsted, Siemens Gamesa, Port of Rønne, BEOF A/S, DTU, CIP fonden, Offshore Center Bornholm, Bornholms Regionskommune. @balticenergyisland.com 

Vi havde åbning på den store udstilling om Energy Islands, som vi sammen med Energinet og WALK Agency etablerede i det historiske Rønne Gl. Elværk i maj 2023. Mange delegationer og gæster fra nær og fjern har været forbi - keep coming!  Klaus Matthiesen Hanne Storm Edlefsen Thomas Laursen Mads Bay Møller Søren Møller Christensen

Der er åbnet en mulighed for at få en energi-erhvervspark på Bornholm – og det er på listen over arbejdsopgaver at undersøge det nærmere!! 

Vi har etableret et formelt samarbejde mellem 3 kommende energiø-samfund i Østersøen: Bornholm, Gotland og Åland. Jeg havde selv glæden af at besøge både Gotland og Åland i oktober - kæmpe fornøjelse. Der er så meget vi kan lære af hinanden! 

Vi fik afholdt en fantastisk Energy Island Summit i maj 2023 - Faktisk så vellykket at vi er kommet på Finansloven i 2024 som en særbevilling til næste Summit i maj 2024…  Hurra hurra! Vi er allerede i gang med design og planlægning. Jeg garanterer, at det IKKE bliver kedeligt... :-)

Og på den mere personlige side, så er jeg selv blevet lidt mere bornholmer i 2023. Nu med fast job som chefkonsulent og sørme også et lille landsted på Nordlandet med sø, klipper - og en bette vinmark. Eventyret fortsætter. 

Tak for samarbejdet 
Rigtig godt og festligt nytår til hele netværket! 
Glæder mig til mange stunder i 2024.
😉",LinkedIn user,"the energy island project on bornholm has seen significant progress in 2023. we have established the baltic energy island as a commercial foundation with a professional board comprising partners such as ørsted, siemens gamesa, port of rønne, beof a/s, dtu, cip foundation, offshore center bornholm, and bornholms regionskommune. 

in may 2023, we inaugurated a large exhibition on energy islands at the historic rønne gl. elværk, in collaboration with energinet and walk agency. this exhibition has attracted delegations and visitors from around the world, and we encourage continued interest. 

we are exploring the possibility of creating an energy-focused industrial park on bornholm, which is now a priority on our agenda. 

furthermore, we have formalized cooperation between three emerging energy island communities in the baltic sea: bornholm, gotland, and åland. my personal visits to gotland and åland in october highlighted the wealth of knowledge we can share and learn from one another. 

in may 2023, we hosted the highly successful energy island summit. this success has led to a dedicated funding allocation in denmark’s 2024 finance act for the next summit in may 2024, which we are already designing and planning. i promise it will be an exciting event. 

on a personal note, 2023 has also brought me closer to bornholm. i’ve taken on a permanent role as a chief consultant and acquired a small countryside property on the northern part of the island, complete with a lake, cliffs, and a small vineyard. 

i extend my gratitude for the collaboration this year and wish everyone a festive new year. i look forward to many memorable moments in 2024.",1/13/2024,https://dk.linkedin.com/posts/mette-sk%C3%B8t-444919_we-innovate-the-global-energy-system-baltic-activity-7146566938553470976-hsBo,LinkedIn,Social media,2024,-2665.509277,-599.034424,None,True,positive,positive
10,1/13/2025 11:45:42,"📣 Bornholm skal hæve ambitionsniveauet for erhvervsvenlighed – ellers risikerer energiøens potentiale at gå tabt.

Der har netop været høringsfrist vedr. BRK’s nye Plan- og Udviklingsstrategi. DI Bornholm har indsendt høringssvar på strategien, der har Energiøen som omdrejningspunkt.

DI Bornholm kvitterer for kommunens ambition om at tænke en kommende bornholmsk energiø sammen med lokal vækst og udvikling. 

Men vi er bekymrede for, om Bornholms Regionskommune sigter forbi andre vigtige udviklingsområder ved at gøre en eventuel fremtidig energiø til det primære centerpunkt for en bornholmsk udviklingsstrategi. Gør også Bornholm, som øen er i dag, til centrum for de strategiske indsatser med ambitionen om at gøre vores ø til et af de bedste steder i landet at leve, bo, gå i skole, arbejde og drive virksomhed. 

DI’s erhvervsvenlighedsundersøgelse placerer år efter år Bornholm i den absolutte bund blandt landets kommuner, når det kommer til lokal erhvervsvenlighed. Det er et problem nu og her for Bornholms eksisterende erhvervsliv, og det bliver et problem for fremtiden, når Bornholm vil gøre sig attraktiv for nye virksomheder og tilflyttere i kølvandet på energiøen og udnytte nye erhvervsmæssige muligheder. 

🎯 Hvis Bornholm skal gøre sig forhåbninger om at omsætte energiøen til lokal vækst, udvikling og arbejdspladser, bør man sætte ind her som den første og vigtigste strategiske målsætning i en Plan- og Udviklingsstrategi 2024, i supplement til energiøen. 

Hæv ambitionsniveauet markant for den kommunale erhvervsvenlighed og sæt handling bag ordene 💪 . Det vil skabe fundamentet for at få skabt den lokale udvikling og vækst, som energiøen på den lange bane leverer potentiale for – og det vil gavne øens eksisterende virksomheder og hele det bornholmske samfund på den kortere bane.",Other,"bornholm must raise its ambitions for business friendliness, or the potential of the energy island project risks being lost. while we acknowledge and appreciate the municipality's ambition to integrate the energy island with local growth and development, bornholm’s regional municipality needs to address other key areas of development. bornholm, as it exists today, should also be a strategic focal point, aiming to become one of the best places in denmark to live, study, work, and run a business.

bornholm consistently ranks at the bottom of denmark’s municipalities in di’s business friendliness survey. this is currently a significant problem for local businesses and will become a greater challenge when bornholm seeks to attract new companies and residents in connection with the energy island project. 

to turn the energy island into a driver of local growth, development, and job creation, the first and most critical strategic goal of the 2024 plan and development strategy should be significantly improving municipal business friendliness, in addition to focusing on the energy island.

we urge the municipality to take bold action to elevate business friendliness, as this will establish the foundation for local growth and development in both the short and long term. this approach will benefit bornholm's existing businesses and the wider community, ensuring that the energy island project delivers on its full potential.",10/13/2024,https://dk.linkedin.com/posts/di-bornholm_bornholm-skal-h%C3%A6ve-ambitionsniveauet-for-activity-7241714382576009217-y-0w,LinkedIn,Social media,2024,-2782.046143,-675.340149,Who benefits socially and economically from energy islands? Is it fair?,True,Negative,Negative
